user_id,step_1_completed,step_1_timestamp,step_2_completed,step_2_timestamp,step_3_completed,step_3_timestamp,step_4_completed,step_4_timestamp,onboarding_completed,onboarding_completion_date,time_to_complete_hours,ab_test_variant
u_0,True,2024-09-02 00:02:00,True,2024-09-02 00:05:00,True,2024-09-02 00:15:00,False,,False,,,
u_1,False,,False,,False,,False,,False,,,control
u_2,True,2025-10-12 00:02:00,True,2025-10-12 00:05:00,True,2025-10-12 00:15:00,True,2025-10-12 00:30:00,True,2025-10-12 00:30:00,16.891033999613754,control
u_3,True,2024-07-02 00:02:00,True,2024-07-02 00:05:00,False,,False,,False,,,
u_4,True,2024-08-17 00:02:00,False,,False,,False,,False,,,
u_5,True,2024-07-21 00:02:00,False,,False,,False,,False,,,
u_6,True,2025-07-15 00:02:00,True,2025-07-15 00:05:00,True,2025-07-15 00:15:00,False,,False,,,
u_7,True,2025-05-28 00:02:00,True,2025-05-28 00:05:00,True,2025-05-28 00:15:00,True,2025-05-28 00:30:00,True,2025-05-28 00:30:00,20.356468281088837,
u_8,True,2025-08-28 00:02:00,True,2025-08-28 00:05:00,False,,False,,False,,,
u_9,True,2025-04-11 00:02:00,True,2025-04-11 00:05:00,True,2025-04-11 00:15:00,True,2025-04-11 00:30:00,True,2025-04-11 00:30:00,37.317491327567254,
u_10,True,2024-11-19 00:02:00,True,2024-11-19 00:05:00,True,2024-11-19 00:15:00,False,,False,,,
u_11,False,,False,,False,,False,,False,,,
u_12,True,2024-11-06 00:02:00,True,2024-11-06 00:05:00,False,,False,,False,,,
u_13,True,2024-12-01 00:02:00,True,2024-12-01 00:05:00,False,,False,,False,,,
u_14,True,2025-06-24 00:02:00,True,2025-06-24 00:05:00,True,2025-06-24 00:15:00,True,2025-06-24 00:30:00,True,2025-06-24 00:30:00,35.28945907131843,
u_15,True,2025-01-21 00:02:00,True,2025-01-21 00:05:00,False,,False,,False,,,
u_16,True,2025-02-19 00:02:00,True,2025-02-19 00:05:00,False,,False,,False,,,
u_17,True,2024-05-09 00:02:00,True,2024-05-09 00:05:00,False,,False,,False,,,
u_18,True,2024-04-19 00:02:00,True,2024-04-19 00:05:00,False,,False,,False,,,
u_19,True,2024-06-16 00:02:00,True,2024-06-16 00:05:00,False,,False,,False,,,
u_20,True,2024-10-25 00:02:00,True,2024-10-25 00:05:00,False,,False,,False,,,
u_21,True,2025-01-05 00:02:00,True,2025-01-05 00:05:00,True,2025-01-05 00:15:00,True,2025-01-05 00:30:00,True,2025-01-05 00:30:00,15.853931354635968,
u_22,True,2025-12-30 00:02:00,True,2025-12-30 00:05:00,False,,False,,False,,,variant_a
u_23,True,2024-08-26 00:02:00,True,2024-08-26 00:05:00,True,2024-08-26 00:15:00,True,2024-08-26 00:30:00,True,2024-08-26 00:30:00,41.941300826061024,
u_24,True,2024-02-06 00:02:00,True,2024-02-06 00:05:00,True,2024-02-06 00:15:00,True,2024-02-06 00:30:00,True,2024-02-06 00:30:00,13.729180616301393,
u_25,False,,False,,False,,False,,False,,,
u_26,False,,False,,False,,False,,False,,,
u_27,True,2025-05-20 00:02:00,False,,False,,False,,False,,,
u_28,True,2024-10-07 00:02:00,True,2024-10-07 00:05:00,False,,False,,False,,,
u_29,True,2024-08-12 00:02:00,True,2024-08-12 00:05:00,True,2024-08-12 00:15:00,False,,False,,,
u_30,False,,False,,False,,False,,False,,,
u_31,False,,False,,False,,False,,False,,,variant_a
u_32,True,2025-03-01 00:02:00,True,2025-03-01 00:05:00,False,,False,,False,,,
u_33,False,,False,,False,,False,,False,,,
u_34,True,2025-06-29 00:02:00,True,2025-06-29 00:05:00,True,2025-06-29 00:15:00,True,2025-06-29 00:30:00,True,2025-06-29 00:30:00,18.01222177829216,
u_35,True,2024-09-22 00:02:00,True,2024-09-22 00:05:00,True,2024-09-22 00:15:00,True,2024-09-22 00:30:00,True,2024-09-22 00:30:00,24.83061266950338,
u_36,False,,False,,False,,False,,False,,,
u_37,False,,False,,False,,False,,False,,,
u_38,True,2025-06-03 00:02:00,False,,False,,False,,False,,,
u_39,False,,False,,False,,False,,False,,,
u_40,True,2025-01-21 00:02:00,True,2025-01-21 00:05:00,False,,False,,False,,,
u_41,True,2025-08-08 00:02:00,True,2025-08-08 00:05:00,True,2025-08-08 00:15:00,True,2025-08-08 00:30:00,True,2025-08-08 00:30:00,33.48436980029018,
u_42,True,2024-04-15 00:02:00,False,,False,,False,,False,,,
u_43,True,2025-06-10 00:02:00,True,2025-06-10 00:05:00,True,2025-06-10 00:15:00,True,2025-06-10 00:30:00,True,2025-06-10 00:30:00,45.9089214950118,
u_44,True,2024-06-14 00:02:00,True,2024-06-14 00:05:00,True,2024-06-14 00:15:00,True,2024-06-14 00:30:00,True,2024-06-14 00:30:00,3.4722364681615763,
u_45,True,2024-06-26 00:02:00,True,2024-06-26 00:05:00,False,,False,,False,,,
u_46,True,2024-03-08 00:02:00,True,2024-03-08 00:05:00,False,,False,,False,,,
u_47,True,2024-12-24 00:02:00,True,2024-12-24 00:05:00,False,,False,,False,,,
u_48,True,2025-04-21 00:02:00,True,2025-04-21 00:05:00,False,,False,,False,,,
u_49,True,2025-12-11 00:02:00,False,,False,,False,,False,,,variant_a
u_50,True,2025-03-01 00:02:00,True,2025-03-01 00:05:00,True,2025-03-01 00:15:00,True,2025-03-01 00:30:00,True,2025-03-01 00:30:00,18.900115958912146,
u_51,True,2024-05-23 00:02:00,False,,False,,False,,False,,,
u_52,True,2025-02-19 00:02:00,True,2025-02-19 00:05:00,True,2025-02-19 00:15:00,False,,False,,,
u_53,True,2024-04-05 00:02:00,True,2024-04-05 00:05:00,False,,False,,False,,,
u_54,True,2024-11-25 00:02:00,False,,False,,False,,False,,,
u_55,True,2025-07-03 00:02:00,True,2025-07-03 00:05:00,True,2025-07-03 00:15:00,False,,False,,,
u_56,True,2024-09-09 00:02:00,True,2024-09-09 00:05:00,False,,False,,False,,,
u_57,True,2024-11-05 00:02:00,True,2024-11-05 00:05:00,True,2024-11-05 00:15:00,True,2024-11-05 00:30:00,True,2024-11-05 00:30:00,29.541731194707776,
u_58,True,2024-10-07 00:02:00,True,2024-10-07 00:05:00,True,2024-10-07 00:15:00,True,2024-10-07 00:30:00,True,2024-10-07 00:30:00,47.11427937732831,
u_59,True,2025-04-09 00:02:00,True,2025-04-09 00:05:00,False,,False,,False,,,
u_60,False,,False,,False,,False,,False,,,control
u_61,True,2025-10-09 00:02:00,True,2025-10-09 00:05:00,True,2025-10-09 00:15:00,True,2025-10-09 00:30:00,True,2025-10-09 00:30:00,42.41406860775879,control
